Region,Zip,City,County,Population,Therapists,PopPerTherapist
Central/East VA - Southside/Central,23917,Boydton,Mecklenburg County,2422,3,807.33
Central/East VA - Southside/Central,23836,Chester,Chesterfield County,15298,20,764.9
Central/East VA - Southside/Central,23970,South Hill,Mecklenburg County,8109,11,737.18
Central/East VA - Southside/Central,23803,Petersburg,Dinwiddie County,42012,59,712.07
Central/East VA - Southside/Central,23962,Randolph,Charlotte County,705,1,705.0
Central/East VA - Southside/Central,23866,Ivor,Southampton County,1943,3,647.67
Central/East VA - Southside/Central,23831,Chester,Chesterfield County,39529,72,549.01
Central/East VA - Southside/Central,23838,Chesterfield,Chesterfield County,17686,33,535.94
Central/East VA - Southside/Central,23834,Colonial Heights,Chesterfield County,26628,51,522.12
Central/East VA - Southside/Central,23801,Fort Gregg Adams,Prince George County,8993,24,374.71
Central/East VA - Southside/Central,23901,Farmville,Cumberland County,15173,41,370.07
Central/East VA - Southside/Central,23942,Green Bay,Prince Edward County,1001,3,333.67
Central/East VA - Southside/Central,23828,Branchville,Southampton County,577,2,288.5
Central/East VA - Southside/Central,23832,Chesterfield,Chesterfield County,41442,165,251.16
Central/East VA - Southside/Central,23963,Red House,Charlotte County,468,2,234.0
Central/East VA - Southside/Central,23884,Sussex,Sussex County,29,1,29.0
Northern VA - Alexandria,22309,Alexandria,Fairfax County,34316,40,857.9
Northern VA - Alexandria,22311,Alexandria,Alexandria city,19337,41,471.63
Northern VA - Alexandria,22308,Alexandria,Fairfax County,14090,31,454.52
Northern VA - Alexandria,22315,Alexandria,Fairfax County,30404,67,453.79
Northern VA - Alexandria,22306,Alexandria,Fairfax County,30602,70,437.17
Northern VA - Alexandria,22312,Alexandria,Fairfax County,26768,85,314.92
Northern VA - Alexandria,22305,Alexandria,Alexandria city,17214,66,260.82
Northern VA - Alexandria,22310,Alexandria,Fairfax County,28136,108,260.52
Northern VA - Alexandria,22303,Alexandria,Fairfax County,16922,70,241.74
Northern VA - Alexandria,22304,Alexandria,Alexandria city,48613,223,218.0
Northern VA - Alexandria,22307,Alexandria,Fairfax County,10343,70,147.76
Northern VA - Alexandria,22302,Alexandria,Alexandria city,18026,149,120.98
Northern VA - Alexandria,22314,Alexandria,Alexandria city,36612,829,44.16
Northern VA - Alexandria,22301,Alexandria,Alexandria city,13665,413,33.09
Northern VA - Arlington,22204,Arlington,Arlington County,51921,183,283.72
Northern VA - Arlington,22213,Arlington,Arlington County,4021,21,191.48
Northern VA - Arlington,22206,Arlington,Arlington County,20703,109,189.94
Northern VA - Arlington,22205,Arlington,Arlington County,17738,96,184.77
Northern VA - Arlington,22202,Arlington,Arlington County,27715,200,138.57
Northern VA - Arlington,22211,Fort Myer,Arlington County,947,8,118.38
Northern VA - Arlington,22207,Arlington,Arlington County,35479,307,115.57
Northern VA - Arlington,22203,Arlington,Arlington County,26594,260,102.28
Northern VA - Arlington,22201,Arlington,Arlington County,37473,638,58.74
Northern VA - Arlington,22209,Arlington,Arlington County,14154,244,58.01
Northern VA - Central NoVA,22060,Fort Belvoir,Fairfax County,10641,16,665.06
Northern VA - Central NoVA,22026,Dumfries,Prince William County,22897,37,618.84
Northern VA - Central NoVA,22079,Lorton,Fairfax County,35284,59,598.03
Northern VA - Central NoVA,22025,Dumfries,Prince William County,19356,41,472.1
Northern VA - Central NoVA,22041,Falls Church,Fairfax County,29183,74,394.36
Northern VA - Central NoVA,22042,Falls Church,Fairfax County,35483,96,369.61
Northern VA - Central NoVA,22003,Annandale,Fairfax County,57755,160,360.97
Northern VA - Central NoVA,22033,Fairfax,Fairfax County,39526,113,349.79
Northern VA - Central NoVA,22043,Falls Church,Fairfax County,25750,82,314.02
Northern VA - Central NoVA,22015,Burke,Fairfax County,44647,152,293.73
Northern VA - Central NoVA,22039,Fairfax Station,Fairfax County,19626,71,276.42
Northern VA - Central NoVA,22044,Falls Church,Fairfax County,13996,54,259.19
Northern VA - Central NoVA,22032,Fairfax,Fairfax County,29240,117,249.91
Northern VA - Central NoVA,22031,Fairfax,Fairfax County,37276,269,138.57
Northern VA - Central NoVA,22066,Great Falls,Fairfax County,17185,182,94.42
Northern VA - Central NoVA,22027,Dunn Loring,Fairfax County,1939,30,64.63
Northern VA - Central NoVA,22030,Fairfax,Fairfax County,61332,963,63.69
Northern VA - Central NoVA,22046,Falls Church,Falls Church city,18169,333,54.56
Northern VA - East/Central,22172,Triangle,Prince William County,11490,14,820.71
Northern VA - East/Central,22153,Springfield,Fairfax County,32664,48,680.5
Northern VA - East/Central,22152,Springfield,Fairfax County,28814,69,417.59
Northern VA - East/Central,22134,Quantico,Stafford County,8310,20,415.5
Northern VA - East/Central,22151,Springfield,Fairfax County,17017,46,369.93
Northern VA - East/Central,22191,Woodbridge,Prince William County,73623,200,368.12
Northern VA - East/Central,22150,Springfield,Fairfax County,27955,77,363.05
Northern VA - East/Central,22181,Vienna,Fairfax County,15760,46,342.61
Northern VA - East/Central,22193,Woodbridge,Prince William County,81588,310,263.19
Northern VA - East/Central,22192,Woodbridge,Prince William County,59794,236,253.36
Northern VA - East/Central,22124,Oakton,Fairfax County,18091,88,205.58
Northern VA - East/Central,22180,Vienna,Fairfax County,26568,193,137.66
Northern VA - East/Central,22102,McLean,Fairfax County,29184,246,118.63
Northern VA - East/Central,22182,Vienna,Fairfax County,27783,332,83.68
Northern VA - East/Central,22101,McLean,Fairfax County,30953,517,59.87
Northern VA - East/Central,22125,Occoquan,Prince William County,681,22,30.95
Northern VA - North/West,20106,Amissville,Rappahannock County,4297,1,4297.0
Northern VA - North/West,20119,Catlett,Fauquier County,3416,1,3416.0
Northern VA - North/West,20137,Broad Run,Fauquier County,1938,1,1938.0
Northern VA - North/West,20135,Bluemont,Clarke County,3585,2,1792.5
Northern VA - North/West,20115,Marshall,Fauquier County,8173,6,1362.17
Northern VA - North/West,20112,Manassas,Prince William County,30500,23,1326.09
Northern VA - North/West,20181,Nokesville,Prince William County,10774,11,979.45
Northern VA - North/West,20197,Waterford,Loudoun County,1825,2,912.5
Northern VA - North/West,20164,Sterling,Loudoun County,43436,61,712.07
Northern VA - North/West,20111,Manassas,Prince William County,38124,55,693.16
Northern VA - North/West,20136,Bristow,Prince William County,32325,51,633.82
Northern VA - North/West,20187,Warrenton,Fauquier County,18980,31,612.26
Northern VA - North/West,20105,Aldie,Loudoun County,37639,63,597.44
Northern VA - North/West,20194,Reston,Fairfax County,12275,24,511.46
Northern VA - North/West,20180,Lovettsville,Loudoun County,7531,15,502.07
Northern VA - North/West,20141,Round Hill,Loudoun County,8359,17,491.71
Northern VA - North/West,20121,Centreville,Fairfax County,27788,57,487.51
Northern VA - North/West,20120,Centreville,Fairfax County,42896,91,471.38
Northern VA - North/West,20124,Clifton,Fairfax County,14375,31,463.71
Northern VA - North/West,20158,Hamilton,Loudoun County,4979,12,414.92
Northern VA - North/West,20109,Manassas,Prince William County,45444,113,402.16
Northern VA - North/West,20148,Ashburn,Loudoun County,64021,171,374.39
Northern VA - North/West,20171,Herndon,Fairfax County,51286,139,368.96
Northern VA - North/West,20152,Chantilly,Loudoun County,36674,111,330.4
Northern VA - North/West,20184,Upperville,Loudoun County,635,2,317.5
Northern VA - North/West,20169,Haymarket,Prince William County,28089,93,302.03
Northern VA - North/West,20165,Sterling,Loudoun County,34088,123,277.14
Northern VA - North/West,20155,Gainesville,Prince William County,37486,139,269.68
Northern VA - North/West,20170,Herndon,Fairfax County,43866,171,256.53
Northern VA - North/West,20198,The Plains,Fauquier County,2251,9,250.11
Northern VA - North/West,20110,Manassas,Manassas city,49890,208,239.86
Northern VA - North/West,20132,Purcellville,Loudoun County,19817,95,208.6
Northern VA - North/West,20176,Leesburg,Loudoun County,51471,276,186.49
Northern VA - North/West,20166,Sterling,Loudoun County,14949,87,171.83
Northern VA - North/West,20147,Ashburn,Loudoun County,67692,445,152.12
Northern VA - North/West,20186,Warrenton,Fauquier County,15703,105,149.55
Northern VA - North/West,20175,Leesburg,Loudoun County,34733,248,140.05
Northern VA - North/West,20143,Catharpin,Prince William County,1070,11,97.27
Northern VA - North/West,20151,Chantilly,Fairfax County,22610,247,91.54
Northern VA - North/West,20191,Reston,Fairfax County,31011,375,82.7
Northern VA - North/West,20190,Reston,Fairfax County,22012,268,82.13
Northern VA - North/West,20117,Middleburg,Loudoun County,2790,37,75.41
Northern VA - North/West,20129,Paeonian Springs,Loudoun County,538,18,29.89
Other,24609,Cedar Bluff,Tazewell County,6923,1,6923.0
Other,24630,North Tazewell,Tazewell County,5307,1,5307.0
Other,22443,Colonial Beach,Westmoreland County,10011,2,5005.5
Other,22645,Middletown,Frederick County,4639,1,4639.0
Other,22734,Remington,Fauquier County,3918,1,3918.0
Other,24637,Pounding Mill,Tazewell County,3778,1,3778.0
Other,22827,Elkton,Rockingham County,10529,3,3509.67
Other,22624,Clear Brook,Frederick County,3416,1,3416.0
Other,24614,Grundy,Buchanan County,6668,2,3334.0
Other,22824,Edinburg,Shenandoah County,6596,2,3298.0
Other,22620,Boyce,Clarke County,2825,1,2825.0
Other,22842,Mount Jackson,Shenandoah County,5580,2,2790.0
Other,22473,Heathsville,Northumberland County,5498,2,2749.0
Other,24639,Raven,Buchanan County,2736,1,2736.0
Other,22656,Stephenson,Frederick County,5360,2,2680.0
Other,22849,Shenandoah,Page County,5170,2,2585.0
Other,22967,Roseland,Nelson County,2413,1,2413.0
Other,22712,Bealeton,Fauquier County,9501,4,2375.25
Other,22520,Montross,Westmoreland County,4740,2,2370.0
Other,22514,Milford,Caroline County,2290,1,2290.0
Other,22572,Warsaw,Richmond County,6597,3,2199.0
Other,22942,Gordonsville,Louisa County,10560,5,2112.0
Other,22821,Dayton,Rockingham County,6116,3,2038.67
Other,22657,Strasburg,Shenandoah County,12067,6,2011.17
Other,22840,McGaheysville,Rockingham County,5239,3,1746.33
Other,22508,Locust Grove,Orange County,15557,9,1728.56
Other,22663,White Post,Clarke County,1705,1,1705.0
Other,22952,Lyndhurst,Augusta County,1694,1,1694.0
Other,22735,Reva,Madison County,1628,1,1628.0
Other,22923,Barboursville,Albemarle County,6435,4,1608.75
Other,22485,King George,King George County,27131,17,1595.94
Other,22841,Mount Crawford,Rockingham County,3090,2,1545.0
Other,22482,Kilmarnock,Northumberland County,3075,2,1537.5
Other,22846,Penn Laird,Rockingham County,1496,1,1496.0
Other,24605,Bluefield,Tazewell County,8872,6,1478.67
Other,22660,Toms Brook,Shenandoah County,1468,1,1468.0
Other,22427,Bowling Green,Caroline County,4356,3,1452.0
Other,22488,Kinsale,Westmoreland County,1367,1,1367.0
Other,22724,Jeffersonton,Culpeper County,2518,2,1259.0
Other,22973,Stanardsville,Greene County,6292,5,1258.4
Other,22835,Luray,Page County,11314,9,1257.11
Other,22556,Stafford,Stafford County,31785,27,1177.22
Other,22578,White Stone,Lancaster County,2353,2,1176.5
Other,22727,Madison,Madison County,5742,5,1148.4
Other,22974,Troy,Fluvanna County,5309,5,1061.8
Other,22610,Bentonville,Warren County,2113,2,1056.5
Other,22654,Star Tannery,Frederick County,1040,1,1040.0
Other,22642,Linden,Warren County,3933,4,983.25
Other,22959,North Garden,Albemarle County,1923,2,961.5
Other,22834,Linville,Rockingham County,956,1,956.0
