name,population,zcta
Henrico County,26322,23222
Henrico County,54659,23223
Richmond city,40575,23224
Richmond city,42771,23225
Richmond city,15477,23226
Henrico County,24925,23227
Henrico County,36527,23228
Henrico County,35689,23229
Henrico County,8910,23230
Henrico County,38544,23231
Henrico County,31582,23233
Chesterfield County,47465,23234
Chesterfield County,33461,23235
Chesterfield County,27903,23236
Chesterfield County,27126,23237
Goochland County,26050,23238
Henrico County,0,23250
Richmond city,2362,23284
Henrico County,20216,23294
Richmond city,98,23298
Accomack County,1804,23301
Accomack County,111,23302
Accomack County,342,23303
Isle of Wight County,45,23304
Accomack County,1729,23306
Northampton County,701,23307
Accomack County,2370,23308
Northampton County,5031,23310
Isle of Wight County,10099,23314
Isle of Wight County,1391,23315
Northampton County,91,23316
Chesapeake city,59108,23320
Chesapeake city,40176,23321
Chesapeake city,66956,23322
Chesapeake city,43043,23323
Chesapeake city,24670,23324
Chesapeake city,19138,23325
Accomack County,3319,23336
Accomack County,666,23337
Northampton County,502,23347
Northampton County,2983,23350
Northampton County,433,23354
Accomack County,1628,23356
Accomack County,890,23357
Accomack County,236,23358
Accomack County,940,23359
Accomack County,92,23389
Accomack County,466,23395
Northampton County,27,23398
Accomack County,288,23401
Northampton County,1237,23405
Accomack County,270,23407
Northampton County,0,23408
Accomack County,109,23409
Accomack County,2305,23410
Northampton County,776,23413
Accomack County,26,23414
Accomack County,2289,23415
Accomack County,96,23416
Accomack County,3827,23417
Accomack County,753,23418
Accomack County,2673,23420
Accomack County,4290,23421
Accomack County,202,23422
Accomack County,219,23423
Accomack County,37,23426
Accomack County,218,23427
Isle of Wight County,19109,23430
Suffolk city,1180,23432
Suffolk city,1391,23433
Suffolk city,54387,23434
Suffolk city,33721,23435
Suffolk city,882,23436
Suffolk city,5023,23437
Suffolk city,1749,23438
Accomack County,252,23440
Accomack County,0,23441
Accomack County,488,23442
Virginia Beach city,44012,23451
Virginia Beach city,58455,23452
Virginia Beach city,34482,23453
Virginia Beach city,58178,23454
Virginia Beach city,49977,23455
Virginia Beach city,61911,23456
Virginia Beach city,4814,23457
Virginia Beach city,1324,23459
Virginia Beach city,1041,23460
Virginia Beach city,943,23461
Virginia Beach city,66151,23462
Virginia Beach city,75061,23464
Accomack County,338,23480
Northampton County,278,23486
Isle of Wight County,6477,23487
Accomack County,62,23488
Norfolk city,20399,23502
Norfolk city,30216,23503
Norfolk city,23502,23504
Norfolk city,28247,23505
Norfolk city,6645,23507
Norfolk city,19432,23508
Norfolk city,13105,23509
Norfolk city,9190,23510
Norfolk city,9664,23511
Norfolk city,28628,23513
Norfolk city,4932,23517
Norfolk city,29746,23518
Norfolk city,8188,23523
Norfolk city,1702,23551
Newport News city,26645,23601
Newport News city,42265,23602
Newport News city,3504,23603
Newport News city,4416,23604
Newport News city,13332,23605
Newport News city,29971,23606
Newport News city,23096,23607
Newport News city,43641,23608
Hampton city,439,23651
Hampton city,14005,23661
Poquoson city,12639,23662
Hampton city,14656,23663
Hampton city,9643,23664
Hampton city,5810,23665
Hampton city,54233,23666
Hampton city,0,23667
Hampton city,723,23668
Hampton city,39884,23669
Hampton city,0,23681
York County,4597,23690
York County,464,23691
York County,19301,23692
York County,23176,23693
York County,3937,23696
Portsmouth city,24298,23701
Portsmouth city,12485,23702
Portsmouth city,25610,23703
Portsmouth city,19207,23704
Portsmouth city,14766,23707
Portsmouth city,269,23708
Portsmouth city,510,23709
Prince George County,8993,23801
Dinwiddie County,42012,23803
Prince George County,21408,23805
Brunswick County,1983,23821
Nottoway County,6455,23824
Southampton County,1091,23827
Southampton County,577,23828
Southampton County,2731,23829
Dinwiddie County,1412,23830
Chesterfield County,39529,23831
Chesterfield County,41442,23832
Dinwiddie County,2212,23833
Chesterfield County,26628,23834
Chesterfield County,15298,23836
Southampton County,4623,23837
Chesterfield County,17686,23838
Surry County,993,23839
Dinwiddie County,1733,23840
Dinwiddie County,3021,23841
Prince George County,6924,23842
Brunswick County,446,23843
Southampton County,522,23844
Brunswick County,280,23845
Surry County,709,23846
Greensville County,12956,23847
Dinwiddie County,1161,23850
Southampton County,13237,23851
Brunswick County,540,23856
Brunswick County,352,23857
Prince George County,31404,23860
Southampton County,1943,23866
Sussex County,5173,23867
Brunswick County,6281,23868
Greensville County,0,23870
Dinwiddie County,2571,23872
Southampton County,673,23874
Prince George County,13029,23875
Brunswick County,252,23876
Southampton County,1217,23878
Greensville County,386,23879
Surry County,2531,23881
Sussex County,1848,23882
Surry County,1870,23883
Sussex County,29,23884
Dinwiddie County,3193,23885
Brunswick County,631,23887
Sussex County,2528,23888
Brunswick County,565,23889
Sussex County,4167,23890
Sussex County,1449,23891
Brunswick County,504,23893
Dinwiddie County,326,23894
Sussex County,949,23897
Isle of Wight County,2246,23898
Surry County,387,23899
Cumberland County,15173,23901
Prince Edward County,1109,23909
Mecklenburg County,1360,23915
Mecklenburg County,2422,23917
Mecklenburg County,2306,23919
Brunswick County,3225,23920
Buckingham County,2408,23921
Nottoway County,4197,23922
Charlotte County,2063,23923
Mecklenburg County,5915,23924
Mecklenburg County,4809,23927
Nottoway County,5508,23930
Prince Edward County,441,23934
Buckingham County,7334,23936
Charlotte County,1915,23937
Brunswick County,295,23938
Prince Edward County,1001,23942
Prince Edward County,1066,23943
Lunenburg County,3978,23944
Lunenburg County,3785,23947
Mecklenburg County,3510,23950
Lunenburg County,84,23952
Prince Edward County,2396,23954
Nottoway County,14,23955
Appomattox County,3425,23958
Charlotte County,1154,23959
Prince Edward County,2176,23960
Charlotte County,705,23962
