NAME,H1_001N,zip code tabulation area
ZCTA5 77478,10009,77478
ZCTA5 77479,31235,77479
ZCTA5 77480,3338,77480
ZCTA5 77481,54,77481
ZCTA5 77482,906,77482
ZCTA5 77483,182,77483
ZCTA5 77484,5195,77484
ZCTA5 77485,1608,77485
ZCTA5 77486,3300,77486
ZCTA5 77488,6177,77488
ZCTA5 77489,12871,77489
ZCTA5 77493,17398,77493
ZCTA5 77494,42612,77494
ZCTA5 77498,17187,77498
ZCTA5 77502,12159,77502
ZCTA5 77503,8859,77503
ZCTA5 77504,10577,77504
ZCTA5 77505,9234,77505
ZCTA5 77506,12085,77506
ZCTA5 77507,534,77507
ZCTA5 77510,5895,77510
ZCTA5 77511,19863,77511
ZCTA5 77514,2127,77514
ZCTA5 77515,12457,77515
ZCTA5 77517,2270,77517
ZCTA5 77518,3881,77518
ZCTA5 77519,371,77519
ZCTA5 84094,10007,84094
ZCTA5 84088,12362,84088
ZCTA5 84092,10049,84092
ZCTA5 84093,7877,84093
ZCTA5 84095,13052,84095
ZCTA5 84096,20232,84096
ZCTA5 84097,7238,84097
ZCTA5 84098,10104,84098
ZCTA5 84101,5214,84101
ZCTA5 84102,10991,84102
ZCTA5 84103,13092,84103
ZCTA5 84104,7474,84104
ZCTA5 84105,10391,84105
ZCTA5 84106,16431,84106
ZCTA5 84107,17380,84107
ZCTA5 84108,8939,84108
ZCTA5 84109,9659,84109
ZCTA5 84307,552,84307
ZCTA5 84308,104,84308
ZCTA5 84309,219,84309
ZCTA5 84310,2671,84310
ZCTA5 84311,284,84311
ZCTA5 84312,1460,84312
ZCTA5 84313,106,84313
ZCTA5 84314,371,84314
ZCTA5 84315,2787,84315
ZCTA5 84316,92,84316
ZCTA5 84317,1799,84317
ZCTA5 84318,1493,84318
ZCTA5 84319,2945,84319
ZCTA5 84320,794,84320
ZCTA5 84321,16631,84321
ZCTA5 84322,0,84322
ZCTA5 84324,366,84324
ZCTA5 95337,13870,95337
ZCTA5 95334,4431,95334
ZCTA5 95335,1138,95335
ZCTA5 95336,16617,95336
ZCTA5 95338,5645,95338
ZCTA5 95340,13403,95340
ZCTA5 95341,9144,95341
ZCTA5 95345,402,95345
ZCTA5 95346,1357,95346
ZCTA5 95348,12360,95348
ZCTA5 95350,20812,95350
ZCTA5 95351,13715,95351
ZCTA5 95354,9656,95354
ZCTA5 95355,22959,95355
ZCTA5 95356,12141,95356
ZCTA5 95357,4100,95357
ZCTA5 95358,9152,95358
ZCTA5 95360,4264,95360
ZCTA5 95361,12928,95361
ZCTA5 95363,8486,95363
ZCTA5 95364,415,95364
ZCTA5 95365,1352,95365
ZCTA5 95366,6504,95366
ZCTA5 95367,7711,95367
ZCTA5 84111,7824,84111
ZCTA5 84112,180,84112
ZCTA5 84113,13,84113
ZCTA5 84114,0,84114
ZCTA5 84115,13120,84115
ZCTA5 84116,12952,84116
ZCTA5 84117,10960,84117
ZCTA5 84118,11562,84118
ZCTA5 84119,17505,84119
ZCTA5 84120,14837,84120
ZCTA5 84121,17680,84121
ZCTA5 84123,15395,84123
ZCTA5 84124,8612,84124
ZCTA5 84128,8459,84128
ZCTA5 84129,12345,84129
ZCTA5 84138,0,84138
ZCTA5 84150,0,84150
ZCTA5 84180,0,84180
ZCTA5 84301,307,84301
ZCTA5 84302,9186,84302
ZCTA5 84304,16,84304
ZCTA5 84305,285,84305
ZCTA5 84306,177,84306
ZCTA5 95368,4066,95368
ZCTA5 95369,387,95369
ZCTA5 95370,13556,95370
ZCTA5 95372,803,95372
ZCTA5 95374,605,95374
ZCTA5 95375,430,95375
ZCTA5 95376,17075,95376
ZCTA5 95377,9732,95377
ZCTA5 95379,1717,95379
ZCTA5 95380,14594,95380
ZCTA5 95382,13507,95382
ZCTA5 95383,3474,95383
ZCTA5 95385,189,95385
ZCTA5 95386,3299,95386
ZCTA5 95387,211,95387
ZCTA5 95388,3924,95388
ZCTA5 95389,831,95389
ZCTA5 95391,7257,95391
ZCTA5 95401,14190,95401
ZCTA5 95403,17458,95403
ZCTA5 95404,16438,95404
ZCTA5 95405,9330,95405
ZCTA5 95407,13138,95407
ZCTA5 95409,13162,95409
ZCTA5 95410,603,95410
ZCTA5 95412,132,95412
ZCTA5 95415,604,95415
ZCTA5 95417,90,95417
ZCTA5 95419,125,95419
ZCTA5 95420,225,95420
ZCTA5 95421,1015,95421
ZCTA5 95422,8140,95422
ZCTA5 95423,2700,95423
ZCTA5 99029,572,99029
ZCTA5 99025,2173,99025
ZCTA5 99026,3708,99026
ZCTA5 99027,2703,99027
ZCTA5 99030,422,99030
ZCTA5 99031,486,99031
ZCTA5 99032,344,99032
ZCTA5 99033,425,99033
ZCTA5 99034,140,99034
ZCTA5 99036,588,99036
ZCTA5 99037,6303,99037
ZCTA5 99039,55,99039
ZCTA5 99040,304,99040
ZCTA5 99101,641,99101
ZCTA5 99102,279,99102
ZCTA5 99103,238,99103
ZCTA5 99105,40,99105
ZCTA5 99109,2464,99109
ZCTA5 99110,730,99110
ZCTA5 99111,1982,99111
ZCTA5 99113,316,99113
ZCTA5 99114,6137,99114
ZCTA5 99115,890,99115
ZCTA5 99116,669,99116
ZCTA5 99117,255,99117
ZCTA5 99118,508,99118
ZCTA5 99119,1092,99119
ZCTA5 99121,86,99121
ZCTA5 99122,2264,99122
ZCTA5 99123,546,99123
ZCTA5 99124,123,99124
ZCTA5 99125,275,99125
ZCTA5 99126,404,99126
ZCTA5 99128,141,99128
ZCTA5 99129,447,99129
ZCTA5 99130,378,99130
ZCTA5 99131,99,99131
ZCTA5 99133,842,99133
ZCTA5 99134,289,99134
ZCTA5 99135,123,99135
ZCTA5 99136,18,99136
ZCTA5 99137,247,99137
ZCTA5 99138,660,99138
ZCTA5 99139,719,99139
ZCTA5 99140,205,99140
ZCTA5 99141,2839,99141
ZCTA5 99143,336,99143
ZCTA5 99144,23,99144
ZCTA5 99146,43,99146
ZCTA5 99147,183,99147
ZCTA5 99148,1953,99148
ZCTA5 99149,102,99149
ZCTA5 99150,198,99150
ZCTA5 99151,86,99151
ZCTA5 99152,98,99152
ZCTA5 99153,351,99153
ZCTA5 99154,10,99154
ZCTA5 00601,7605,00601
ZCTA5 00602,17111,00602
ZCTA5 00603,25269,00603
ZCTA5 00606,2452,00606
ZCTA5 00610,12263,00610
ZCTA5 00611,782,00611
ZCTA5 00612,30948,00612
ZCTA5 00616,4517,00616
ZCTA5 00617,10555,00617
ZCTA5 00622,7150,00622
ZCTA5 00623,20745,00623
ZCTA5 00624,9433,00624
ZCTA5 00627,14795,00627
ZCTA5 00631,616,00631
ZCTA5 00636,250,00636
ZCTA5 00637,11200,00637
ZCTA5 00638,7869,00638
ZCTA5 00641,11453,00641
ZCTA5 00646,16473,00646
ZCTA5 00647,3246,00647
ZCTA5 00650,5930,00650
ZCTA5 00652,1750,00652
ZCTA5 00653,5375,00653
ZCTA5 00656,8406,00656
ZCTA5 00659,16659,00659
ZCTA5 00660,7656,00660
ZCTA5 00662,19953,00662
ZCTA5 00664,6476,00664
ZCTA5 00667,12540,00667
ZCTA5 00669,12872,00669
ZCTA5 00670,3877,00670
ZCTA5 00674,19010,00674
ZCTA5 00676,17140,00676
ZCTA5 00677,9198,00677
ZCTA5 00678,11954,00678
ZCTA5 00680,26075,00680
ZCTA5 00682,15601,00682
ZCTA5 00683,14939,00683
ZCTA5 00685,19353,00685
ZCTA5 00687,12014,00687
ZCTA5 00688,5271,00688
ZCTA5 00690,2609,00690
ZCTA5 00692,15244,00692
ZCTA5 00693,26364,00693
ZCTA5 00694,171,00694
ZCTA5 00698,16403,00698
ZCTA5 00703,11049,00703
ZCTA5 00704,3463,00704
ZCTA5 00705,10876,00705
ZCTA5 00707,5402,00707
ZCTA5 00714,8218,00714
ZCTA5 00715,1257,00715
ZCTA5 00716,14385,00716
ZCTA5 19136,13985,19136
ZCTA5 19133,10545,19133
ZCTA5 19134,23823,19134
ZCTA5 19135,13533,19135
ZCTA5 19137,3582,19137
ZCTA5 19138,13701,19138
ZCTA5 19139,21361,19139
ZCTA5 19140,22797,19140
ZCTA5 19141,14450,19141
ZCTA5 19142,11459,19142
ZCTA5 19143,30078,19143
ZCTA5 19144,22611,19144
ZCTA5 19145,21677,19145
ZCTA5 19146,22249,19146
ZCTA5 19147,21502,19147
ZCTA5 19148,23143,19148
ZCTA5 19149,20463,19149
ZCTA5 19150,10750,19150
ZCTA5 19151,13581,19151
ZCTA5 19152,14155,19152
ZCTA5 19153,5656,19153
ZCTA5 19154,13386,19154
ZCTA5 19301,3030,19301
ZCTA5 19310,1024,19310
ZCTA5 19311,3115,19311
ZCTA5 19312,4440,19312
ZCTA5 19316,76,19316
ZCTA5 19317,4192,19317
ZCTA5 19319,91,19319
ZCTA5 19320,21196,19320
ZCTA5 19330,2113,19330
ZCTA5 19333,3321,19333
ZCTA5 19335,19576,19335
ZCTA5 19341,8753,19341
ZCTA5 19342,8625,19342
ZCTA5 19343,3141,19343
ZCTA5 19344,4865,19344
ZCTA5 19345,6,19345
ZCTA5 19348,8928,19348
ZCTA5 19350,4006,19350
ZCTA5 19352,2880,19352
ZCTA5 33619,14794,33619
ZCTA5 33620,32,33620
ZCTA5 33621,499,33621
ZCTA5 33624,16156,33624
ZCTA5 33625,11491,33625
ZCTA5 33626,12991,33626
ZCTA5 33629,11391,33629
ZCTA5 33634,8263,33634
ZCTA5 33635,8001,33635
ZCTA5 33637,7914,33637
ZCTA5 33647,26980,33647
ZCTA5 33701,13487,33701
ZCTA5 33702,15744,33702
ZCTA5 33703,12084,33703
ZCTA5 33704,8416,33704
ZCTA5 19355,12043,19355
ZCTA5 19358,130,19358
ZCTA5 19362,2176,19362
ZCTA5 19363,6439,19363
ZCTA5 19365,2833,19365
ZCTA5 19367,73,19367
ZCTA5 19369,109,19369
ZCTA5 19372,972,19372
ZCTA5 19373,864,19373
ZCTA5 19374,323,19374
ZCTA5 19375,88,19375
ZCTA5 19380,21488,19380
ZCTA5 19382,21221,19382
ZCTA5 19383,202,19383
ZCTA5 19390,5218,19390
ZCTA5 19401,17669,19401
ZCTA5 33570,13780,33570
ZCTA5 33566,8028,33566
ZCTA5 33567,4014,33567
ZCTA5 33569,10381,33569
ZCTA5 33572,9900,33572
ZCTA5 33573,17232,33573
ZCTA5 33574,5,33574
ZCTA5 33576,2613,33576
ZCTA5 33578,24555,33578
ZCTA5 33579,14686,33579
ZCTA5 33584,10221,33584
ZCTA5 33585,559,33585
ZCTA5 33592,5074,33592
ZCTA5 33594,13699,33594
ZCTA5 33596,10007,33596
ZCTA5 33597,3613,33597
ZCTA5 33598,8802,33598
ZCTA5 33602,12119,33602
ZCTA5 33603,9187,33603
