Zip,Population,Count,Density,Region
22849,5170,2,3.8685,Other
22850,1218,0,0.0,Other
22851,5903,0,0.0,Other
22853,5214,0,0.0,Other
22901,37237,303,81.3707,Other
22902,23486,320,136.2514,Other
22903,40372,266,65.8872,Other
22904,5729,43,75.0567,Other
22911,19107,92,48.1499,Other
22920,3608,7,19.4013,Other
22922,2226,0,0.0,Other
22923,6435,4,6.216,Other
22931,145,1,68.9655,Other
22932,9148,81,88.5439,Other
22935,575,1,17.3913,Other
22936,6983,17,24.3448,Other
22937,1743,0,0.0,Other
22938,884,0,0.0,Other
22939,6908,17,24.6091,Other
22940,1066,2,18.7617,Other
22942,10560,5,4.7348,Other
22943,402,2,49.7512,Other
22946,195,0,0.0,Other
22947,5256,12,22.8311,Other
22948,137,0,0.0,Other
22949,1426,0,0.0,Other
22952,1694,1,5.9032,Other
22958,2306,3,13.0095,Other
22959,1923,2,10.4004,Other
22960,11657,13,11.1521,Other
22963,16896,36,21.3068,Other
22964,99,0,0.0,Other
22967,2413,1,4.1442,Other
22968,11235,22,19.5817,Other
22969,1429,0,0.0,Other
22971,2359,0,0.0,Other
22972,290,1,34.4828,Other
22973,6292,5,7.9466,Other
22974,5309,5,9.418,Other
22976,149,0,0.0,Other
22980,32965,68,20.6279,Other
22989,49,1,204.0816,Other
23002,10849,23,21.2001,Central/East VA - Richmond Area
23004,819,2,24.42,Central/East VA - Richmond Area
23005,19987,66,33.0215,Central/East VA - Richmond Area
23009,8270,4,4.8368,Central/East VA - Richmond Area
23011,1682,0,0.0,Central/East VA - Richmond Area
23015,4601,2,4.3469,Central/East VA - Richmond Area
23021,19,0,0.0,Central/East VA - Richmond Area
23022,1006,0,0.0,Central/East VA - Richmond Area
23023,482,0,0.0,Central/East VA - Richmond Area
23024,11233,4,3.5609,Central/East VA - Richmond Area
23025,686,0,0.0,Central/East VA - Richmond Area
23027,1612,1,6.2035,Central/East VA - Richmond Area
23030,4470,2,4.4743,Central/East VA - Richmond Area
23032,109,0,0.0,Central/East VA - Richmond Area
23035,1495,3,20.0669,Central/East VA - Richmond Area
23038,1471,1,6.7981,Central/East VA - Richmond Area
23039,938,0,0.0,Central/East VA - Richmond Area
23040,4640,2,4.3103,Central/East VA - Richmond Area
23043,1628,0,0.0,Central/East VA - Richmond Area
23045,25,0,0.0,Central/East VA - Richmond Area
23047,1381,0,0.0,Central/East VA - Richmond Area
23050,437,0,0.0,Central/East VA - Richmond Area
23055,1004,4,39.8406,Central/East VA - Richmond Area
23056,175,2,114.2857,Central/East VA - Richmond Area
23059,42522,157,36.9221,Central/East VA - Richmond Area
23060,36497,171,46.8532,Central/East VA - Richmond Area
23061,23308,34,14.5873,Central/East VA - Richmond Area
23062,1745,0,0.0,Central/East VA - Richmond Area
23063,6164,20,32.4465,Central/East VA - Richmond Area
23065,1292,0,0.0,Central/East VA - Richmond Area
23066,514,0,0.0,Central/East VA - Richmond Area
23068,333,0,0.0,Central/East VA - Richmond Area
23069,3425,11,32.1168,Central/East VA - Richmond Area
23070,616,1,16.2338,Central/East VA - Richmond Area
23071,1879,1,5.322,Central/East VA - Richmond Area
23072,13328,6,4.5018,Central/East VA - Richmond Area
23075,8347,31,37.1391,Central/East VA - Richmond Area
23076,552,1,18.1159,Central/East VA - Richmond Area
23079,400,0,0.0,Central/East VA - Richmond Area
23083,2220,0,0.0,Central/East VA - Richmond Area
23084,1652,1,6.0533,Central/East VA - Richmond Area
23085,393,1,25.4453,Central/East VA - Richmond Area
23086,3777,4,10.5904,Central/East VA - Richmond Area
23089,4831,2,4.1399,Central/East VA - Richmond Area
23091,562,0,0.0,Central/East VA - Richmond Area
23092,765,0,0.0,Central/East VA - Richmond Area
23093,14647,18,12.2892,Central/East VA - Richmond Area
23102,3605,3,8.3218,Central/East VA - Richmond Area
23103,6922,17,24.5594,Central/East VA - Richmond Area
23106,917,12,130.8615,Central/East VA - Richmond Area
23108,22,0,0.0,Central/East VA - Richmond Area
23109,2327,2,8.5948,Central/East VA - Richmond Area
23110,764,1,13.089,Central/East VA - Richmond Area
23111,38070,87,22.8526,Central/East VA - Richmond Area
23112,57016,290,50.8629,Central/East VA - Richmond Area
23113,27477,171,62.2339,Central/East VA - Richmond Area
23114,21631,92,42.5316,Central/East VA - Richmond Area
23116,34188,87,25.4475,Central/East VA - Richmond Area
23117,10480,2,1.9084,Central/East VA - Richmond Area
23119,284,0,0.0,Central/East VA - Richmond Area
23120,17586,23,13.0786,Central/East VA - Richmond Area
23123,1995,0,0.0,Central/East VA - Richmond Area
23124,5147,15,29.1432,Central/East VA - Richmond Area
23126,410,1,24.3902,Central/East VA - Richmond Area
23128,367,1,27.248,Central/East VA - Richmond Area
23129,305,9,295.082,Central/East VA - Richmond Area
23130,94,1,106.383,Central/East VA - Richmond Area
23138,1198,1,8.3472,Central/East VA - Richmond Area
23139,27757,30,10.8081,Central/East VA - Richmond Area
23140,7755,4,5.158,Central/East VA - Richmond Area
23141,7814,9,11.5178,Central/East VA - Richmond Area
23146,3451,2,5.7954,Central/East VA - Richmond Area
